"H/D(Time), créé par Plot Digitizer, 2.6.8"
"Date: 06/06/20, 14:52:28"


56
Time,H/D
-0.0933333,0.423021,
1.21333,0.245098,
1.77333,0.194263,
4.01333,0.245098,
4.76000,0.364924,
5.69333,0.521060,
6.25333,0.611837,
7.37333,0.702614,
8.30667,0.811547,
8.86667,0.949528,
10.1733,1.11293,
10.7333,1.25454,
11.4800,1.33805,
12.6000,1.35984,
13.7200,1.47603,
14.6533,1.58497,
15.0267,1.64670,
17.0800,1.70116,
19.6933,1.81009,
22.4933,1.71932,
23.9867,1.71932,
25.6667,1.63217,
27.5333,1.44336,
28.6533,1.36347,
29.4000,1.23275,
30.5200,1.05846,
32.5733,0.858751,
33.5067,0.691721,
35,0.473856,
35.7467,0.339506,
37.4267,0.241467,
38.5467,0.270516,
40.4133,0.470225,
41.1600,0.600944,
43.0267,0.680828,
44.3333,0.902324,
44.8933,0.982208,
45.6400,1.11656,
47.5067,1.15650,
48.8133,1.25817,
49.5600,1.36347,
50.1200,1.39615,
52.3600,1.36347,
54.7867,1.42520,
56.0933,1.33805,
57.2133,1.29085,
58.5200,1.25091,
60.3867,1.12382,
61.5067,0.996732,
61.6933,0.916848,
62.6267,0.862382,
63.3733,0.775236,
63.7467,0.695352,
64.4933,0.564633,
65.0533,0.477487,
67.6667,0.397603,
